"City","year","partialYearMonths","BlackPop","WhitePop","StanfordStopsBl","StanfordStopsWh","StanSearchBl","StanSearchWh","StanFriskBl","StanFriskWh","BlackProp","WhiteProp","DiffBlackMinusWhite","RatioBlackWhite","animus_score","implicit_score_mean","implicit_nobs","Region","WhitePoliceShare","WhitePopShare","HispPoliceShare","HispPopShare","BlackPoliceShare","BlackPopShare","AsianPoliceShare","AsianPopShare","PoliceRatioWhBl","None"
"Madison",2015,NA,20324,227591,7385,22541,NA,NA,NA,NA,0.3634,0.099,0.2643,3.6688,55.66,0.2943,2226,"Midwest",80.1,76,5.4,6.5,10.3,7.2,2.1,7.4,7.78,1
"shville",2015,NA,195309,444579,129699,196677,7530,5155,3347,2025,0.6641,0.4424,0.2217,1.5011,63.43,0.2858,1406,"South",84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9,1
"New Orleans",2015,NA,236904,132656,30781,10999,3105,649,2331,428,0.1299,0.0829,0.047,1.5671,61.94,0.2163,1024,"South",38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66,1
"Oakland",2015,NA,173854,243312,10971,2559,2517,132,NA,NA,0.0631,0.0105,0.0526,6,47.64,0.2568,9493,"West",42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93,1
"Oklahoma City",2015,NA,115049,506649,14170,64695,NA,NA,NA,NA,0.1232,0.1277,-0.0045,0.9645,58.92,0.2517,1037,"South",85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76,1
"Philadelphia",2015,NA,726619,703446,181193,60051,5873,1836,12268,2098,0.2494,0.0854,0.164,2.9211,77.93,0.2895,6827,"Northeast",56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7,1
"Pittsburgh",2015,NA,81425,221269,7249,10476,7249,10476,917,543,0.089,0.0473,0.0417,1.8804,76.08,0.3253,2435,"Northeast",84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9,1
"Raleigh",2015,NA,150586,292294,34053,27029,2242,32,775,14,0.2261,0.0925,0.1337,2.4455,60.63,0.2867,1477,"South",83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87,1
"San Antonio",2015,NA,119492,1330052,12140,41337,129,340,NA,NA,0.1016,0.0311,0.0705,3.269,46.23,0.2758,1110,"South",42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83,1
"San Diego",2015,NA,131776,1240320,12105,48758,956,1248,NA,NA,0.0919,0.0393,0.0525,2.3368,52.04,0.2875,3279,"West",65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11,1
